,#,host/name,direction,2s,10s,40s,cumulative,t,cumulative_parsed,t_parsed
0,1,239.255.255.250,=>,0b,0b,0b,0B,15-21-53.346555613,0,1900-01-01 15:21:53.346555613
1,,L02197.DIRECTORY.INTRA,<=,660b,660b,660b,165B,15-21-53.346555613,165,1900-01-01 15:21:53.346555613
2,1,172.21.134.247,=>,544b,544b,544b,136B,15-26-03.120180925,136,1900-01-01 15:26:03.120180925
3,,L02197.DIRECTORY.INTRA,<=,5.06Kb,5.06Kb,5.06Kb,1.27KB,15-26-03.120180925,1270,1900-01-01 15:26:03.120180925
4,1,172.21.134.247,=>,544b,544b,544b,136B,15-25-04.881277767,136,1900-01-01 15:25:04.881277767
5,,L02197.DIRECTORY.INTRA,<=,1.69Kb,1.69Kb,1.69Kb,432B,15-25-04.881277767,432,1900-01-01 15:25:04.881277767
6,2,mdns.mcast.net,=>,0b,0b,0b,0B,15-25-04.881277767,0,1900-01-01 15:25:04.881277767
7,,L02197.DIRECTORY.INTRA,<=,292b,292b,292b,73B,15-25-04.881277767,73,1900-01-01 15:25:04.881277767
8,1,172.21.134.247,=>,6.70Kb,6.70Kb,6.70Kb,1.67KB,15-21-03.894581807,1670,1900-01-01 15:21:03.894581807
9,,13.107.5.93,<=,26.0Kb,26.0Kb,26.0Kb,6.50KB,15-21-03.894581807,6500,1900-01-01 15:21:03.894581807
10,2,172.21.134.247,=>,860b,860b,860b,215B,15-21-03.894581807,215,1900-01-01 15:21:03.894581807
11,,L02197.DIRECTORY.INTRA,<=,3.92Kb,3.92Kb,3.92Kb,0.98KB,15-21-03.894581807,980,1900-01-01 15:21:03.894581807
12,3,239.255.255.250,=>,0b,0b,0b,0B,15-21-03.894581807,0,1900-01-01 15:21:03.894581807
13,,L02197.DIRECTORY.INTRA,<=,812b,812b,812b,203B,15-21-03.894581807,203,1900-01-01 15:21:03.894581807
14,4,224.0.0.251,=>,0b,0b,0b,0B,15-21-03.894581807,0,1900-01-01 15:21:03.894581807
15,,L02197.DIRECTORY.INTRA,<=,316b,316b,316b,79B,15-21-03.894581807,79,1900-01-01 15:21:03.894581807
16,5,255.255.255.255,=>,0b,0b,0b,0B,15-21-03.894581807,0,1900-01-01 15:21:03.894581807
17,,L02197.DIRECTORY.INTRA,<=,272b,272b,272b,68B,15-21-03.894581807,68,1900-01-01 15:21:03.894581807
18,1,172.21.134.247,=>,736b,736b,736b,184B,15-20-46.668880948,184,1900-01-01 15:20:46.668880948
19,,L02197.DIRECTORY.INTRA,<=,2.44Kb,2.44Kb,2.44Kb,624B,15-20-46.668880948,624,1900-01-01 15:20:46.668880948
20,1,172.21.134.247,=>,544b,544b,544b,136B,15-21-55.569886182,136,1900-01-01 15:21:55.569886182
21,,L02197.DIRECTORY.INTRA,<=,6.29Kb,6.29Kb,6.29Kb,1.57KB,15-21-55.569886182,1570,1900-01-01 15:21:55.569886182
22,2,239.255.255.250,=>,0b,0b,0b,0B,15-21-55.569886182,0,1900-01-01 15:21:55.569886182
23,,L02197.DIRECTORY.INTRA,<=,660b,660b,660b,165B,15-21-55.569886182,165,1900-01-01 15:21:55.569886182
24,3,mdns.mcast.net,=>,0b,0b,0b,0B,15-21-55.569886182,0,1900-01-01 15:21:55.569886182
25,,L02197.DIRECTORY.INTRA,<=,316b,316b,316b,79B,15-21-55.569886182,79,1900-01-01 15:21:55.569886182
26,1,172.21.134.247,=>,0b,0b,0b,0B,15-22-20.543066891,0,1900-01-01 15:22:20.543066891
27,,L02197.DIRECTORY.INTRA,<=,1.69Kb,1.69Kb,1.69Kb,432B,15-22-20.543066891,432,1900-01-01 15:22:20.543066891
28,1,172.21.134.247,=>,1.06Kb,1.06Kb,1.06Kb,272B,15-25-37.367175313,272,1900-01-01 15:25:37.367175313
29,,L02197.DIRECTORY.INTRA,<=,3.38Kb,3.38Kb,3.38Kb,864B,15-25-37.367175313,864,1900-01-01 15:25:37.367175313
30,2,mdns.mcast.net,=>,0b,0b,0b,0B,15-25-37.367175313,0,1900-01-01 15:25:37.367175313
31,,L02197.DIRECTORY.INTRA,<=,316b,316b,316b,79B,15-25-37.367175313,79,1900-01-01 15:25:37.367175313
32,1,172.21.134.247,=>,544b,544b,544b,136B,15-17-27.790783493,136,1900-01-01 15:17:27.790783493
33,,L02197.DIRECTORY.INTRA,<=,3.38Kb,3.38Kb,3.38Kb,864B,15-17-27.790783493,864,1900-01-01 15:17:27.790783493
34,1,172.21.134.247,=>,0b,0b,0b,0B,15-19-22.587651195,0,1900-01-01 15:19:22.587651195
35,,L02197.DIRECTORY.INTRA,<=,1.69Kb,1.69Kb,1.69Kb,432B,15-19-22.587651195,432,1900-01-01 15:19:22.587651195
36,1,172.21.134.247,=>,544b,544b,544b,136B,15-25-22.367612176,136,1900-01-01 15:25:22.367612176
37,,L02197.DIRECTORY.INTRA,<=,5.06Kb,5.06Kb,5.06Kb,1.27KB,15-25-22.367612176,1270,1900-01-01 15:25:22.367612176
