,#,host/name,direction,2s,10s,40s,cumulative,t,cumulative_parsed,t_parsed
0,1,172.30.74.51,=>,167Kb,167Kb,167Kb,41.7KB,2023-11-24-16-08-59,41700,2023-11-24 16:08:59
1,,3.5.135.4,<=,22.7Mb,22.7Mb,22.7Mb,5.66MB,2023-11-24-16-08-59,5660000,2023-11-24 16:08:59
2,2,172.30.74.51,=>,1.32Kb,1.32Kb,1.32Kb,337B,2023-11-24-16-08-59,337,2023-11-24 16:08:59
3,,172.30.64.1,<=,1.11Kb,1.11Kb,1.11Kb,284B,2023-11-24-16-08-59,284,2023-11-24 16:08:59
4,3,224.0.0.251,=>,0b,0b,0b,0B,2023-11-24-16-08-59,0,2023-11-24 16:08:59
5,,172.30.64.1,<=,308b,308b,308b,77B,2023-11-24-16-08-59,77,2023-11-24 16:08:59
6,1,172.30.74.51,=>,137Kb,137Kb,137Kb,34.1KB,2023-11-24-16-18-43,34100,2023-11-24 16:18:43
7,,s3-r-w.eu-central-1.amazonaws.com,<=,29.9Mb,29.9Mb,29.9Mb,7.47MB,2023-11-24-16-18-43,7470000,2023-11-24 16:18:43
8,2,172.30.74.51,=>,956b,956b,956b,239B,2023-11-24-16-18-43,239,2023-11-24 16:18:43
9,,l03236.mshome.net,<=,568b,568b,568b,142B,2023-11-24-16-18-43,142,2023-11-24 16:18:43
10,3,mdns.mcast.net,=>,0b,0b,0b,0B,2023-11-24-16-18-43,0,2023-11-24 16:18:43
11,,l03236.mshome.net,<=,616b,616b,616b,154B,2023-11-24-16-18-43,154,2023-11-24 16:18:43
12,1,172.30.74.51,=>,171Kb,171Kb,171Kb,42.9KB,2023-11-24-16-18-52,42900,2023-11-24 16:18:52
13,,s3-r-w.eu-central-1.amazonaws.com,<=,21.4Mb,21.4Mb,21.4Mb,5.36MB,2023-11-24-16-18-52,5360000,2023-11-24 16:18:52
14,2,172.30.74.51,=>,1.34Kb,1.34Kb,1.34Kb,342B,2023-11-24-16-18-52,342,2023-11-24 16:18:52
15,,l03236.mshome.net,<=,1.70Kb,1.70Kb,1.70Kb,434B,2023-11-24-16-18-52,434,2023-11-24 16:18:52
16,3,mdns.mcast.net,=>,0b,0b,0b,0B,2023-11-24-16-18-52,0,2023-11-24 16:18:52
17,,l03236.mshome.net,<=,308b,308b,308b,77B,2023-11-24-16-18-52,77,2023-11-24 16:18:52
18,1,172.30.74.51,=>,71.3Kb,71.3Kb,71.3Kb,17.8KB,2023-11-24-16-17-34,17800,2023-11-24 16:17:34
19,,s3-r-w.eu-central-1.amazonaws.com,<=,9.95Mb,9.95Mb,9.95Mb,2.49MB,2023-11-24-16-17-34,2490000,2023-11-24 16:17:34
20,2,172.30.74.51,=>,792b,792b,792b,198B,2023-11-24-16-17-34,198,2023-11-24 16:17:34
21,,172.30.64.1,<=,568b,568b,568b,142B,2023-11-24-16-17-34,142,2023-11-24 16:17:34
22,3,255.255.255.255,=>,0b,0b,0b,0B,2023-11-24-16-17-34,0,2023-11-24 16:17:34
23,,172.30.64.1,<=,272b,272b,272b,68B,2023-11-24-16-17-34,68,2023-11-24 16:17:34
24,4,172.30.79.255,=>,0b,0b,0b,0B,2023-11-24-16-17-34,0,2023-11-24 16:17:34
25,,172.30.64.1,<=,272b,272b,272b,68B,2023-11-24-16-17-34,68,2023-11-24 16:17:34
26,1,172.30.74.51,=>,116Kb,116Kb,116Kb,28.9KB,2023-11-24-16-16-42,28900,2023-11-24 16:16:42
27,,s3-r-w.eu-central-1.amazonaws.com,<=,25.4Mb,25.4Mb,25.4Mb,6.35MB,2023-11-24-16-16-42,6350000,2023-11-24 16:16:42
28,2,172.30.74.51,=>,568b,568b,568b,142B,2023-11-24-16-16-42,142,2023-11-24 16:16:42
29,,l03236.mshome.net,<=,2.20Kb,2.20Kb,2.20Kb,562B,2023-11-24-16-16-42,562,2023-11-24 16:16:42
30,3,mdns.mcast.net,=>,0b,0b,0b,0B,2023-11-24-16-16-42,0,2023-11-24 16:16:42
31,,l03236.mshome.net,<=,628b,628b,628b,157B,2023-11-24-16-16-42,157,2023-11-24 16:16:42
32,1,172.30.74.51,=>,53.7Kb,53.7Kb,53.7Kb,13.4KB,2023-11-24-16-20-26,13400,2023-11-24 16:20:26
33,,s3-w.eu-central-1.amazonaws.com,<=,7.84Mb,7.84Mb,7.84Mb,1.96MB,2023-11-24-16-20-26,1960000,2023-11-24 16:20:26
