,#,host/name,direction,2s,10s,40s,cumulative,t,cumulative_parsed,t_parsed
0,1,172.30.74.51,=>,58.4Kb,58.4Kb,58.4Kb,14.6KB,2023-11-24-15-10-09,14600,2023-11-24 15:10:09
1,,s3-w.eu-central-1.amazonaws.com,<=,461Kb,461Kb,461Kb,115KB,2023-11-24-15-10-09,115000,2023-11-24 15:10:09
2,2,172.30.74.51,=>,0b,0b,0b,0B,2023-11-24-15-10-09,0,2023-11-24 15:10:09
3,,l03236.mshome.net,<=,568b,568b,568b,142B,2023-11-24-15-10-09,142,2023-11-24 15:10:09
4,3,255.255.255.255,=>,0b,0b,0b,0B,2023-11-24-15-10-09,0,2023-11-24 15:10:09
5,,l03236.mshome.net,<=,272b,272b,272b,68B,2023-11-24-15-10-09,68,2023-11-24 15:10:09
6,4,172.30.79.255,=>,0b,0b,0b,0B,2023-11-24-15-10-09,0,2023-11-24 15:10:09
7,,l03236.mshome.net,<=,272b,272b,272b,68B,2023-11-24-15-10-09,68,2023-11-24 15:10:09
8,1,172.30.74.51,=>,121Kb,121Kb,121Kb,30.3KB,2023-11-24-15-08-49,30300,2023-11-24 15:08:49
9,,s3-r-w.eu-central-1.amazonaws.com,<=,28.2Mb,28.2Mb,28.2Mb,7.05MB,2023-11-24-15-08-49,7050000,2023-11-24 15:08:49
10,2,172.30.74.51,=>,1.61Kb,1.61Kb,1.61Kb,413B,2023-11-24-15-08-49,413,2023-11-24 15:08:49
11,,l03236.mshome.net,<=,3.36Kb,3.36Kb,3.36Kb,859B,2023-11-24-15-08-49,859,2023-11-24 15:08:49
12,3,mdns.mcast.net,=>,0b,0b,0b,0B,2023-11-24-15-08-49,0,2023-11-24 15:08:49
13,,l03236.mshome.net,<=,916b,916b,916b,229B,2023-11-24-15-08-49,229,2023-11-24 15:08:49
14,1,172.30.74.51,=>,67.2Kb,67.2Kb,67.2Kb,16.8KB,2023-11-24-14-59-27,16800,2023-11-24 14:59:27
15,,3.5.137.114,<=,10.7Mb,10.7Mb,10.7Mb,2.67MB,2023-11-24-14-59-27,2670000,2023-11-24 14:59:27
16,2,172.30.79.255,=>,0b,0b,0b,0B,2023-11-24-14-59-27,0,2023-11-24 14:59:27
17,,172.30.64.1,<=,288b,288b,288b,72B,2023-11-24-14-59-27,72,2023-11-24 14:59:27
18,1,172.30.74.51,=>,68.7Kb,68.7Kb,68.7Kb,17.2KB,2023-11-24-14-57-07,17200,2023-11-24 14:57:07
19,,s3-r-w.eu-central-1.amazonaws.com,<=,11.1Mb,11.1Mb,11.1Mb,2.77MB,2023-11-24-14-57-07,2770000,2023-11-24 14:57:07
20,2,172.30.79.255,=>,0b,0b,0b,0B,2023-11-24-14-57-07,0,2023-11-24 14:57:07
21,,172.30.64.1,<=,288b,288b,288b,72B,2023-11-24-14-57-07,72,2023-11-24 14:57:07
22,1,172.30.74.51,=>,124Kb,124Kb,124Kb,30.9KB,2023-11-24-15-04-13,30900,2023-11-24 15:04:13
23,,s3-r-w.eu-central-1.amazonaws.com,<=,24.8Mb,24.8Mb,24.8Mb,6.21MB,2023-11-24-15-04-13,6210000,2023-11-24 15:04:13
24,2,172.30.74.51,=>,1.60Kb,1.60Kb,1.60Kb,410B,2023-11-24-15-04-13,410,2023-11-24 15:04:13
25,,l03236.mshome.net,<=,2.22Kb,2.22Kb,2.22Kb,569B,2023-11-24-15-04-13,569,2023-11-24 15:04:13
26,3,mdns.mcast.net,=>,0b,0b,0b,0B,2023-11-24-15-04-13,0,2023-11-24 15:04:13
27,,l03236.mshome.net,<=,616b,616b,616b,154B,2023-11-24-15-04-13,154,2023-11-24 15:04:13
28,1,172.30.74.51,=>,123Kb,123Kb,123Kb,30.7KB,2023-11-24-15-06-08,30700,2023-11-24 15:06:08
29,,52.219.46.16,<=,21.0Mb,21.0Mb,21.0Mb,5.26MB,2023-11-24-15-06-08,5260000,2023-11-24 15:06:08
30,2,172.30.74.51,=>,976b,976b,976b,244B,2023-11-24-15-06-08,244,2023-11-24 15:06:08
31,,172.30.64.1,<=,1.69Kb,1.69Kb,1.69Kb,432B,2023-11-24-15-06-08,432,2023-11-24 15:06:08
32,3,224.0.0.251,=>,0b,0b,0b,0B,2023-11-24-15-06-08,0,2023-11-24 15:06:08
33,,172.30.64.1,<=,1.23Kb,1.23Kb,1.23Kb,316B,2023-11-24-15-06-08,316,2023-11-24 15:06:08
34,1,172.30.74.51,=>,111Kb,111Kb,111Kb,27.9KB,2023-11-24-15-02-33,27900,2023-11-24 15:02:33
35,,s3-r-w.eu-central-1.amazonaws.com,<=,26.8Mb,26.8Mb,26.8Mb,6.69MB,2023-11-24-15-02-33,6690000,2023-11-24 15:02:33
36,2,172.30.74.51,=>,964b,964b,964b,241B,2023-11-24-15-02-33,241,2023-11-24 15:02:33
37,,l03236.mshome.net,<=,568b,568b,568b,142B,2023-11-24-15-02-33,142,2023-11-24 15:02:33
38,3,mdns.mcast.net,=>,0b,0b,0b,0B,2023-11-24-15-02-33,0,2023-11-24 15:02:33
39,,l03236.mshome.net,<=,616b,616b,616b,154B,2023-11-24-15-02-33,154,2023-11-24 15:02:33
40,1,172.30.74.51,=>,123Kb,123Kb,123Kb,30.8KB,2023-11-24-14-55-30,30800,2023-11-24 14:55:30
41,,s3-r-w.eu-central-1.amazonaws.com,<=,22.1Mb,22.1Mb,22.1Mb,5.53MB,2023-11-24-14-55-30,5530000,2023-11-24 14:55:30
