,#,host/name,direction,2s,10s,40s,cumulative,t,cumulative_parsed,t_parsed
0,1,172.30.74.51,=>,59.3Kb,59.3Kb,59.3Kb,14.8KB,2023-12-07-12-43-51,14800,2023-12-07 12:43:51
1,,136.231.7.16,<=,10.5Mb,10.5Mb,10.5Mb,2.64MB,2023-12-07-12-43-51,2640000,2023-12-07 12:43:51
2,2,172.30.74.51,=>,792b,792b,792b,198B,2023-12-07-12-43-51,198,2023-12-07 12:43:51
3,,172.30.64.1,<=,2.72Kb,2.72Kb,2.72Kb,696B,2023-12-07-12-43-51,696,2023-12-07 12:43:51
4,3,239.255.255.250,=>,0b,0b,0b,0B,2023-12-07-12-43-51,0,2023-12-07 12:43:51
5,,172.30.64.1,<=,1.57Kb,1.57Kb,1.57Kb,401B,2023-12-07-12-43-51,401,2023-12-07 12:43:51
6,1,172.30.74.51,=>,396b,396b,396b,99B,2023-12-07-12-38-41,99,2023-12-07 12:38:41
7,,l03236.mshome.net,<=,1.11Kb,1.11Kb,1.11Kb,284B,2023-12-07-12-38-41,284,2023-12-07 12:38:41
8,1,172.30.74.51,=>,167Kb,167Kb,167Kb,41.9KB,2023-12-07-12-39-56,41900,2023-12-07 12:39:56
9,,136.231.7.16,<=,22.7Mb,22.7Mb,22.7Mb,5.67MB,2023-12-07-12-39-56,5670000,2023-12-07 12:39:56
10,2,172.30.74.51,=>,964b,964b,964b,241B,2023-12-07-12-39-56,241,2023-12-07 12:39:56
11,,172.30.64.1,<=,2.15Kb,2.15Kb,2.15Kb,551B,2023-12-07-12-39-56,551,2023-12-07 12:39:56
12,3,224.0.0.251,=>,0b,0b,0b,0B,2023-12-07-12-39-56,0,2023-12-07 12:39:56
13,,172.30.64.1,<=,616b,616b,616b,154B,2023-12-07-12-39-56,154,2023-12-07 12:39:56
14,1,172.30.74.51,=>,55.8Kb,55.8Kb,55.8Kb,13.9KB,2023-12-07-12-52-37,13900,2023-12-07 12:52:37
