,#,host/name,direction,2s,10s,40s,cumulative,t,cumulative_parsed,t_parsed
0,1,172.30.74.51,=>,92.3Kb,92.3Kb,92.3Kb,23.1KB,2023-12-07-11-56-06,23100,2023-12-07 11:56:06
1,,136.231.7.16,<=,11.9Mb,11.9Mb,11.9Mb,2.98MB,2023-12-07-11-56-06,2980000,2023-12-07 11:56:06
2,2,172.30.74.51,=>,396b,396b,396b,99B,2023-12-07-11-56-06,99,2023-12-07 11:56:06
3,,172.30.64.1,<=,1.11Kb,1.11Kb,1.11Kb,284B,2023-12-07-11-56-06,284,2023-12-07 11:56:06
4,1,172.30.74.51,=>,15.3Kb,15.3Kb,15.3Kb,3.82KB,2023-12-07-12-02-37,3820,2023-12-07 12:02:37
5,,136.231.7.16,<=,1.05Mb,1.05Mb,1.05Mb,269KB,2023-12-07-12-02-37,269000,2023-12-07 12:02:37
6,2,172.30.74.51,=>,0.98Kb,0.98Kb,0.98Kb,252B,2023-12-07-12-02-37,252,2023-12-07 12:02:37
7,,172.30.64.1,<=,2.15Kb,2.15Kb,2.15Kb,551B,2023-12-07-12-02-37,551,2023-12-07 12:02:37
8,3,224.0.0.251,=>,0b,0b,0b,0B,2023-12-07-12-02-37,0,2023-12-07 12:02:37
9,,172.30.64.1,<=,308b,308b,308b,77B,2023-12-07-12-02-37,77,2023-12-07 12:02:37
10,1,172.30.74.51,=>,186Kb,186Kb,186Kb,46.6KB,2023-12-07-11-54-23,46600,2023-12-07 11:54:23
11,,136.231.7.16,<=,20.0Mb,20.0Mb,20.0Mb,4.99MB,2023-12-07-11-54-23,4990000,2023-12-07 11:54:23
12,2,172.30.74.51,=>,1.33Kb,1.33Kb,1.33Kb,340B,2023-12-07-11-54-23,340,2023-12-07 11:54:23
13,,172.30.64.1,<=,2.22Kb,2.22Kb,2.22Kb,568B,2023-12-07-11-54-23,568,2023-12-07 11:54:23
14,3,224.0.0.251,=>,0b,0b,0b,0B,2023-12-07-11-54-23,0,2023-12-07 11:54:23
15,,172.30.64.1,<=,308b,308b,308b,77B,2023-12-07-11-54-23,77,2023-12-07 11:54:23
16,1,172.30.74.51,=>,184Kb,184Kb,184Kb,46.0KB,2023-12-07-12-03-00,46000,2023-12-07 12:03:00
17,,136.231.7.16,<=,20.9Mb,20.9Mb,20.9Mb,5.22MB,2023-12-07-12-03-00,5220000,2023-12-07 12:03:00
18,2,172.30.74.51,=>,1.33Kb,1.33Kb,1.33Kb,340B,2023-12-07-12-03-00,340,2023-12-07 12:03:00
19,,172.30.64.1,<=,3.82Kb,3.82Kb,3.82Kb,977B,2023-12-07-12-03-00,977,2023-12-07 12:03:00
20,3,224.0.0.251,=>,0b,0b,0b,0B,2023-12-07-12-03-00,0,2023-12-07 12:03:00
21,,172.30.64.1,<=,616b,616b,616b,154B,2023-12-07-12-03-00,154,2023-12-07 12:03:00
22,1,172.30.74.51,=>,189Kb,189Kb,189Kb,47.3KB,2023-12-07-11-53-38,47300,2023-12-07 11:53:38
23,,136.231.7.16,<=,22.5Mb,22.5Mb,22.5Mb,5.62MB,2023-12-07-11-53-38,5620000,2023-12-07 11:53:38
24,2,172.30.74.51,=>,964b,964b,964b,241B,2023-12-07-11-53-38,241,2023-12-07 11:53:38
25,,172.30.64.1,<=,2.71Kb,2.71Kb,2.71Kb,693B,2023-12-07-11-53-38,693,2023-12-07 11:53:38
26,3,224.0.0.251,=>,0b,0b,0b,0B,2023-12-07-11-53-38,0,2023-12-07 11:53:38
27,,172.30.64.1,<=,616b,616b,616b,154B,2023-12-07-11-53-38,154,2023-12-07 11:53:38
28,1,172.30.74.51,=>,12.1Kb,12.1Kb,12.1Kb,3.02KB,2023-12-07-12-05-48,3020,2023-12-07 12:05:48
29,,136.231.7.16,<=,325Kb,325Kb,325Kb,81.3KB,2023-12-07-12-05-48,81300,2023-12-07 12:05:48
30,2,172.30.74.51,=>,396b,396b,396b,99B,2023-12-07-12-05-48,99,2023-12-07 12:05:48
31,,l03236.mshome.net,<=,1.52Kb,1.52Kb,1.52Kb,388B,2023-12-07-12-05-48,388,2023-12-07 12:05:48
32,3,239.255.255.250,=>,0b,0b,0b,0B,2023-12-07-12-05-48,0,2023-12-07 12:05:48
33,,l03236.mshome.net,<=,1.57Kb,1.57Kb,1.57Kb,401B,2023-12-07-12-05-48,401,2023-12-07 12:05:48
34,1,172.30.74.51,=>,279Kb,279Kb,279Kb,69.7KB,2023-12-07-12-07-10,69700,2023-12-07 12:07:10
35,,136.231.7.16,<=,31.4Mb,31.4Mb,31.4Mb,7.86MB,2023-12-07-12-07-10,7860000,2023-12-07 12:07:10
36,2,172.30.74.51,=>,964b,964b,964b,241B,2023-12-07-12-07-10,241,2023-12-07 12:07:10
37,,172.30.64.1,<=,2.71Kb,2.71Kb,2.71Kb,693B,2023-12-07-12-07-10,693,2023-12-07 12:07:10
